Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
178,0.76577167,0.468196223,0.176448549,0.510377112,29.6728805
179,0.793263648,0.484172602,0.17550615,0.534993729,29.9772638
180,0.798215017,0.479322683,0.175328183,0.539487249,29.20886904
181,0.800886967,0.472337918,0.176154929,0.541275789,28.28671902
182,0.805555895,0.464968182,0.177930129,0.544198923,27.17988352
183,0.810198704,0.458963346,0.18131735,0.545868727,26.13500549
184,0.819207739,0.456073285,0.187307806,0.549271809,25.07200613
185,0.859213882,0.489798002,0.186664854,0.583386661,26.74335505
186,0.862178376,0.484144741,0.18533,0.587504639,26.13419743
187,0.861596739,0.479629204,0.183553933,0.588770673,25.81701425
188,0.864611184,0.493465089,0.181587342,0.59225785,27.13195464
189,0.870019139,0.454848425,0.179680917,0.601934689,23.32171324
190,0.869034876,0.430437325,0.178085346,0.605582606,21.15430786
191,0.873488705,0.450364363,0.177051319,0.607766099,22.92043795
192,0.874942873,0.449496007,0.176800114,0.609414226,22.80041403
193,0.877481491,0.450340267,0.177152906,0.611367764,22.76672609
194,0.88238312,0.451690227,0.17871625,0.614474663,22.62653097
195,0.902760325,0.453454423,0.19334172,0.621614498,21.24678286
196,0.907543747,0.455541387,0.193025449,0.626002056,21.29503459
197,0.908801572,0.457859654,0.192302536,0.627391451,21.50387457
198,0.909381004,0.462224043,0.191257608,0.628121552,21.93757511
199,0.910789293,0.467057938,0.189975295,0.629779773,22.3970669
200,0.912482469,0.456555005,0.188540227,0.633953525,21.47696679
201,0.902249768,0.428232306,0.187037033,0.630236848,19.35577048
202,0.872255579,0.423652142,0.185550341,0.603946022,19.96371029
203,0.862653815,0.449201477,0.184164781,0.592256133,22.80210186
204,0.862935535,0.449244007,0.182964982,0.593466575,22.86566436
205,0.864895147,0.449244007,0.182035573,0.596013177,22.84640158
206,0.867813102,0.449244007,0.181461183,0.599160531,22.77123643
207,0.881201548,0.449244007,0.193341322,0.602173228,21.59421576
208,0.883004685,0.449244007,0.192970259,0.604140741,21.55314165
209,0.883493783,0.449244007,0.19211429,0.605266124,21.58651523
210,0.884127848,0.449244007,0.190874225,0.606827605,21.63723841
211,0.886374221,0.449244007,0.189350878,0.610110155,21.64823957
212,0.891023501,0.439295347,0.187645061,0.617303581,20.67363454
213,0.896316367,0.416766882,0.185857586,0.627709523,18.5768415
214,0.896725221,0.420644183,0.184089266,0.628673758,19.01796906
215,0.899027452,0.439082291,0.182440911,0.628852375,20.6975124
216,0.896628938,0.431361699,0.181013336,0.628988711,20.16306002
217,0.894678085,0.421068713,0.179907352,0.629826103,19.36606524
218,0.894453607,0.410762929,0.179223771,0.632107891,18.49503131
219,0.919839985,0.403003943,0.190331379,0.649819944,16.46515151
220,0.921828865,0.40031399,0.189901145,0.652675079,16.21209715
221,0.922819244,0.400363608,0.188908759,0.65433082,16.25223667
222,0.922564181,0.400624464,0.187471215,0.655063754,16.36758741
223,0.922852787,0.401272502,0.185705506,0.656468292,16.52179558
224,0.925477055,0.40248367,0.183728624,0.660138844,16.67730994
225,0.929244198,0.404433914,0.181657563,0.664808587,16.87015773
226,0.912180821,0.419133155,0.179609315,0.646965487,18.7007658
227,0.890949239,0.436283097,0.177700874,0.625423575,20.9810633
228,0.872753324,0.433452116,0.176049233,0.61017964,21.4279441
229,0.869513498,0.42923939,0.174771385,0.608794653,21.22227542
230,0.879423246,0.424192144,0.173984322,0.61946888,20.47469924
231,0.919240528,0.418857605,0.18580178,0.649088008,18.11633787
232,0.905662538,0.413782998,0.184969157,0.637848025,18.09945681
233,0.887125346,0.40951555,0.183130488,0.622482961,18.35820328
